Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
Persona{rut='22222222-2', nombre='Carlos Rojas', telefono='923456789', correo='carlos@hotel.cl'}, servicio='Hotel'
